trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0205010W0,Sitaxentan Sodium,Sitaxentan Sodium,core,prescription_exposure,not applicable,bnf_lkp,Vasodilator Antihypertensive Drugs | Vasodilator Antihypertensive Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0205010X0,Ambrisentan,Ambrisentan,core,prescription_exposure,not applicable,bnf_lkp,Vasodilator Antihypertensive Drugs | Vasodilator Antihypertensive Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0205010Y0,Sildenafil(Vasodilator Antihypertensive),Sildenafil(Vasodilator Antihypertensive),core,prescription_exposure,not applicable,bnf_lkp,Vasodilator Antihypertensive Drugs | Vasodilator Antihypertensive Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0205010Z0,Tadalafil (Vasodilator Antihypertensive),Tadalafil (Vasodilator Antihypertensive),core,prescription_exposure,not applicable,bnf_lkp,Vasodilator Antihypertensive Drugs | Vasodilator Antihypertensive Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,020502000,Other Antihypertensive Preps,Other Antihypertensive Preps,core,prescription_exposure,not applicable,bnf_lkp,Centrally-Acting Antihypertensive Drugs | Centrally-Acting Antihypertensive Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0205020E0,Clonidine Hydrochloride,Clonidine Hydrochloride,core,prescription_exposure,not applicable,bnf_lkp,Centrally-Acting Antihypertensive Drugs | Centrally-Acting Antihypertensive Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0205020G0,Guanfacine Hydrochloride,Guanfacine Hydrochloride,core,prescription_exposure,not applicable,bnf_lkp,Centrally-Acting Antihypertensive Drugs | Centrally-Acting Antihypertensive Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0205020H0,Methyldopa,Methyldopa,core,prescription_exposure,not applicable,bnf_lkp,Centrally-Acting Antihypertensive Drugs | Centrally-Acting Antihypertensive Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0205020I0,Methyldopa With Diuretic,Methyldopa With Diuretic,core,prescription_exposure,not applicable,bnf_lkp,Centrally-Acting Antihypertensive Drugs | Centrally-Acting Antihypertensive Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0205020J0,Methyldopate Hydrochloride,Methyldopate Hydrochloride,core,prescription_exposure,not applicable,bnf_lkp,Centrally-Acting Antihypertensive Drugs | Centrally-Acting Antihypertensive Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0205020M0,Moxonidine,Moxonidine,core,prescription_exposure,not applicable,bnf_lkp,Centrally-Acting Antihypertensive Drugs | Centrally-Acting Antihypertensive Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0205020N0,Reserpine And Rauwolfia Alkaloids,Reserpine And Rauwolfia Alkaloids,core,prescription_exposure,not applicable,bnf_lkp,Centrally-Acting Antihypertensive Drugs | Centrally-Acting Antihypertensive Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0205020P0,Reserp & Rauw Alk With Alkavervir,Reserp & Rauw Alk With Alkavervir,core,prescription_exposure,not applicable,bnf_lkp,Centrally-Acting Antihypertensive Drugs | Centrally-Acting Antihypertensive Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0205020Q0,Reserp & Rauw Alk With Barbiturate,Reserp & Rauw Alk With Barbiturate,core,prescription_exposure,not applicable,bnf_lkp,Centrally-Acting Antihypertensive Drugs | Centrally-Acting Antihypertensive Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0205020R0,Reserp & Rauw Alk With Diuretic,Reserp & Rauw Alk With Diuretic,core,prescription_exposure,not applicable,bnf_lkp,Centrally-Acting Antihypertensive Drugs | Centrally-Acting Antihypertensive Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0205051AA,Perindopril Tosilate,Perindopril Tosilate,core,prescription_exposure,not applicable,bnf_lkp,Angiotensin-Converting Enzyme Inhibitors | Renin-Angiotensin System Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0205051AB,Perindopril Tosilate/Indapamide,Perindopril Tosilate/Indapamide,core,prescription_exposure,not applicable,bnf_lkp,Angiotensin-Converting Enzyme Inhibitors | Renin-Angiotensin System Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0205051AC,Perindopril + Calcium Channel Blocker,Perindopril + Calcium Channel Blocker,core,prescription_exposure,not applicable,bnf_lkp,Angiotensin-Converting Enzyme Inhibitors | Renin-Angiotensin System Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
